,name,pid,duration
91,audio@2.0-servi,896,0.10560300000001988
92,irq/287-touchpa,335,0.014549999999964314
93,crtc_commit:111,385,0.23460299999998924
94,suspend@1.0-ser,899,0.017405000000010773
95,ndroid.systemui,2897,2.306823999999967
96,m.oppo.launcher,3096,0.9451860000002235
97,power@1.2-servi,913,0.0025279999999945346
98,.persist.system,3101,1.9511630000000224
99,vibrator@1.0-se,919,0.008442000000002281
100,statsd.writer,1334,0.14745100000014943
101,hwservicemanage,547,0.09994399999997583
102,core_ctl/0,466,0.004131000000011653
103,migration/4,44,0.007137999999997646
104,migration/5,52,0.009686000000016293
105,crtc_event:111,386,0.03468499999988239
106,ksoftirqd/5,53,5.499999999969418e-05
107,rcuop/4,48,0.029856000000076932
108,rcuop/5,56,0.01526799999997408
109,kworker/5:1,312,0.008712000000052456
110,ext4_discard-8:,576,0.0007859999999908496
111,com.oppo.nhs,3079,0.016969999999975727
112,m.android.phone,3082,0.49319099999963
113,logcat,5596,0.029780000000084073
114,ksoftirqd/3,37,0.0003860000000202035
115,logcat,5664,0.027232000000015688
116,jbd2/sda6-8,574,0.002046000000003545
117,shortc_thread,410,9.800000000126374e-05
118,kworker/0:0,5,0.0031689999999962026
119,kworker/0:3,544,0.005579000000000889
120,rcuos/4,49,0.012114999999930376
121,.statistics.rom,2894,0.2644319999999425
122,ros.deepthinker,3509,0.02271100000000814
123,rcuos/5,57,0.0028450000000255216
124,migration/7,68,0.0006919999999865922
125,kworker/4:1,86,0.009625999999979484
126,core_ctl/6,467,0.00013400000000274304
127,core_ctl/7,468,0.00013899999999722468
128,gatekeeperd,1518,0.007785000000001929
129,gatekeeper@1.0-,603,0.08791900000002073
130,qseecom-unreg-l,281,0.001981999999994599
131,qseecom-unload-,282,0.0015069999999823835
132,qseecomd,551,0.036678000000037514
133,keystore,1306,0.021561000000019703
134,HwBinder:965_3,965,0.05319399999995511
135,keymaster@4.0-s,552,0.06446999999998226
136,lmkd,1033,0.6453120000000645
137,perf@2.0-servic,956,0.024206000000049244
138,init,1,0.21555900000001316
139,main,1738,0.06517599999992285
140,main,1786,0.04282799999999298
141,apexd,641,0.002290000000009229
142,Binder:4789_1,4789,0.008525999999974943
143,thermal@1.0-ser,915,0.015052999999987549
144,cameraserver,1279,0.016428000000018983
145,Binder:2896_3,2896,0.0010850000000104387
146,.dataservices,2899,0.035567000000035875
