duration,pid,name
85.024,329,kworker/u16:11+LPASS_DCI
83.916,602,gatekeeper@1.0-
83.886,263,kworker/u16:2+CDSP_DCI
83.227,7959,ProcessService0
80.754,959,servicetracker@
76.143,825,kworker/u17:19-dwc_wq
70.539,6458,id.printspooler
68.804,10532,ProcessService0
67.394,1404,cryptoeng@1.0-s
65.539,6031,android.smspush
64.573,549,keymaster@4.0-s
63.592,1701,main
57.428,64,rcuop/6
57.017,2997,webview_zygote
55.335,7,kworker/0:1-sock_diag_events
54.454,962,soter@1.0-servi
53.779,275,kgsl_worker_thr
51.367,2891,cds_ol_rx_threa
50.94,912,sensors@2.0-ser
49.278,8457,ProcessService0
46.678,2726,.dataservices
45.976,278,kworker/u16:5+WCNSS_CNTL
45.757,83,kworker/1:1-events
43.647,72,rcuop/7
43.56,2947,com.oppo.nhs
42.45,2888,scheduler_threa
42.291,14,rcuop/0
42.148,21,ksoftirqd/1
40.141,86,kworker/4:1-sock_diag_events
39.207,6515,rutilsdaemon
38.54,32,rcuop/2
38.187,904,gnss@2.0-servic
37.973,940,oiface@1.0-serv
36.814,548,qseecomd
36.174,1317,omx@1.0-service
33.479,1316,wificond
32.327,667,kworker/3:2-events
31.269,84,kworker/2:1-events
30.845,48,rcuop/4
29.763,4627,Binder:4627_2
29.425,3182,.qcrilmsgtunnel
28.733,1296,mediaserver
28.429,1274,keystore
27.149,1739,main
26.889,949,perf@2.0-servic
26.487,65,rcuos/6
22.831,405,kworker/7:4-events
22.72,386,crtc_event:111
21.615,541,kworker/6:2-events
20.755,3357,ros.deepthinker
19.615,985,qrtr-ns
19.598,3228,id.ext.services
19.434,312,kworker/5:1-events
19.123,1168,autochmod.sh
18.379,56,rcuop/5
18.377,24,rcuop/1
17.986,4165,.heytap.mcs:dcs
17.52,3014,wpa_supplicant
17.258,276,kgsl_signal_fen
17.053,4631,Binder:4631_2
16.846,40,rcuop/3
16.684,335,irq/287-touchpa
16.447,558,Binder:558_2
16.123,1699,msm_irqbalance
16.107,979,vendor.qti.secu
15.699,1258,cameraserver
14.603,930,nfc@1.2-service
14.58,908,memtrack@1.0-se
14.407,915,thermal@1.0-ser
14.384,15,rcuos/0
14.144,49,rcuos/4
14.094,528,ueventd
13.811,33,rcuos/2
13.341,7839,hans
13.299,945,allocator-servi
12.46,8355,alarm@1.0-servi
12.279,2727,qtidataservices
12.112,925,dms@1.0-service
12.104,895,suspend@1.0-ser
11.437,3786,i.poweroffalarm
11.17,1242,bspCriticalLog
10.761,2729,.entitlement.o2
10.349,977,qspmhal@1.0-ser
10.266,9023,ping
10.19,1297,perfservice
10.135,1286,mediaextractor
10.076,73,rcuos/7
9.58,120,system
9.458,875,qrtr_rx
9.331,7012,iptables-restor
9.316,1146,wlan_logging_th
9.285,1243,criticallog
9.279,917,vibrator@1.0-se
9.081,1585,gatekeeperd
8.548,80,kworker/6:1-events
7.794,2957,olor.eyeprotect
7.241,7649,sh
6.939,1310,storaged
6.818,347,kworker/1:1H-kblockd
6.71,11214,sh
6.709,11217,xargs
6.223,905,health@2.0-serv
6.099,6402,sleep
5.773,1259,drmserver
5.403,899,configstore@1.1
5.327,903,drm@1.2-service
5.109,11163,sh
4.984,1280,mediadrmserver
4.904,1777,qrtr_rx
4.476,57,rcuos/5
4.272,1052,tftp_server
4.107,894,allocator@1.0-s
4.064,916,usb@1.1-service
3.825,3209,ecuritykeyboard
3.813,526,init
3.803,593,jbd2/sdf7-8
3.789,10,ksoftirqd/0
3.747,348,kworker/2:1H-events_highpri
3.66,25,rcuos/1
3.578,41,rcuos/3
3.41,353,kworker/7:1H-kblockd
3.29,1680,ip6tables-resto
3.241,911,power@1.2-servi
3.184,3333,ndroid.incallui
2.974,2730,atisticsservice
2.952,52,migration/5
2.811,349,kworker/3:1H-kblockd
2.658,2728,elephonyservice
2.569,44,migration/4
2.488,11166,sh
2.485,10788,usap64
2.415,79,kauditd
2.369,350,kworker/4:1H-kblockd
2.34,351,kworker/5:1H-kblockd
2.254,8,kworker/u16:0+LPASS_CNTL
2.219,1344,ipacm
2.114,346,kworker/0:1H-events_highpri
2.008,447,tbatt_pwroff
1.987,3773,po.engineermode
1.975,466,core_ctl/0
1.92,1690,imsdatadaemon
1.777,69,ksoftirqd/7
1.661,1251,atlasservice
1.644,642,apexd
1.63,1652,dpmd
1.606,281,qseecom-unreg-l
1.593,17,migration/0
1.562,352,kworker/6:1H-kblockd
1.561,995,pm-service
1.559,994,pd-mapper
1.545,1040,rmt_storage
1.503,2723,exsystemservice
1.472,3363,rrierdefaultapp
1.442,2440,ims_rtp_daemon
1.381,28,migration/2
1.303,20,migration/1
1.28,61,ksoftirqd/6
1.271,6906,usap32
1.231,1345,netmgrd
1.223,941,esepowermanager
1.212,9229,usap64
1.194,282,qseecom-unload-
1.185,6897,usap32
1.175,1323,cnd
1.145,6898,usap32
1.133,6902,usap32
1.132,579,ext4_discard-25
1.127,9212,usap64
1.124,577,ext4_discard-25
1.12,9575,usap32
1.113,544,kworker/6:3-events
1.09,9236,usap64
1.085,9577,usap32
1.075,586,ext4_discard-8:
1.06,9249,usap64
1.025,10793,usap64
1.024,10791,usap64
1.02,9597,usap32
1.003,9593,usap32
0.997,9595,usap32
0.994,10795,usap64
0.963,9216,usap64
0.949,513,ext4_discard-25
0.938,841,kworker/0:2-events
0.938,10797,usap64
0.835,29,ksoftirqd/2
0.816,517,ext4_discard-25
0.802,60,migration/6
0.801,1478,cnss-daemon
0.722,36,migration/3
0.694,2464,oae_server
0.693,90,msm_watchdog
0.691,37,ksoftirqd/3
0.677,519,ext4_discard-25
0.643,521,ext4_discard-25
0.602,511,ext4_discard-25
0.532,430,irq/327-usbin-i
0.519,515,ext4_discard-25
0.512,1342,thermal-engine
0.501,902,drm@1.2-service
0.479,68,migration/7
0.45,119,ion-pool-cached
0.151,601,atrace@1.0-serv
0.14,901,drm@1.0-service
0.136,53,ksoftirqd/5
0.13,118,ion-pool-uncach
0.121,467,core_ctl/6
0.098,45,ksoftirqd/4
0.077,441,irq/343-wdog-sn
0.073,442,irq/344-wdog-ba
0.065,407,kworker/7:6-cgroup_pidlist_destroy
0.061,468,core_ctl/7
0.047,629,f2fs_gc-8:10
0.044,443,irq/346-aicl-do
0.026,575,ext4_discard-8:
0.024,410,shortc_thread
0.019,595,ext4_discard-8:
